subID	Model	randi	Mp0	delta0	wp0	scl0	Mp	delta	wp	scl	detla2	nll	nllsd	success	iterations
22071401.000000	5.000000	6.000000	86.681705	-0.113747	0.613590	1.698853	0.056533	0.036640	-0.487455	0.230720	1.543160	-0.906351	274.109939	2.096016	2.000000	21.000000
22071401.000000	5.000000	40.000000	43.672536	0.359171	0.318462	0.453405	-0.057207	0.277477	-0.682624	0.000009	2.212420	0.105133	272.641665	0.033040	1.000000	19.000000
22071401.000000	5.000000	28.000000	15.136942	0.020807	0.275537	0.398514	0.153677	1.147871	0.259590	0.000014	1.603793	0.915362	247.176383	0.073384	1.000000	24.000000
22071401.000000	5.000000	17.000000	34.202722	0.045505	0.512416	0.938290	-0.143725	1.127527	0.832678	0.000344	1.061670	0.614513	245.864977	0.051963	1.000000	26.000000
22071401.000000	5.000000	32.000000	33.572380	0.294391	0.468983	0.838238	0.368965	0.000017	0.102757	0.104928	1.350686	0.316157	250.086038	0.112672	2.000000	27.000000
22071401.000000	5.000000	4.000000	33.087689	-0.195295	1.313623	1.880149	-0.006120	0.000389	-0.438833	0.000000	2.344782	1.027753	252.326489	0.102851	1.000000	21.000000
22071401.000000	5.000000	3.000000	97.327097	0.226262	0.505965	0.586800	-0.106500	0.943260	-0.008515	0.050417	1.682357	-0.086417	251.700795	0.915425	1.000000	24.000000
22071401.000000	5.000000	5.000000	47.692246	0.140447	0.533766	1.333478	0.217515	0.002991	-0.156677	0.204779	0.000000	0.671820	264.036266	0.032552	1.000000	29.000000
22071401.000000	5.000000	11.000000	1.048702	0.364206	0.313349	0.657496	-0.026532	0.402565	-0.704141	0.005162	1.911773	1.540921	251.627268	0.922933	2.000000	25.000000
22071401.000000	5.000000	20.000000	15.320793	-0.111040	0.215283	0.786306	0.187147	0.496463	0.210435	0.000002	2.380654	0.890774	251.152667	0.050768	1.000000	30.000000
22071401.000000	5.000000	15.000000	2.730127	-0.062967	0.306460	0.656894	0.107065	0.000056	-0.420808	0.128655	2.852264	0.225510	260.565513	0.110505	2.000000	24.000000
22071401.000000	5.000000	29.000000	11.048192	-0.195530	1.369295	1.658848	0.119355	0.541907	0.753876	0.000000	1.940506	1.276937	249.166510	0.052444	1.000000	26.000000
22071401.000000	5.000000	12.000000	62.803264	-0.168723	0.959428	1.954574	0.123811	2.027998	-0.139149	0.000647	0.826426	0.495222	250.042998	0.093383	1.000000	29.000000
22071401.000000	5.000000	39.000000	23.252985	-0.079813	1.007615	0.118718	0.347023	1.308786	0.786145	0.000000	1.302444	-0.850441	246.158790	0.041113	2.000000	35.000000
22071401.000000	5.000000	16.000000	61.457379	0.184679	0.700323	0.453433	0.338520	1.613083	0.159517	0.000004	0.635727	1.946543	246.654882	0.053624	1.000000	27.000000
22071401.000000	5.000000	14.000000	3.457280	-0.138382	0.223501	1.205949	-0.162034	0.007787	-0.089188	0.127943	1.279058	0.520586	251.921312	0.098633	1.000000	37.000000
22071401.000000	5.000000	25.000000	80.065757	0.145345	0.373034	0.665077	0.112243	1.129122	0.306941	0.000000	1.441306	0.716596	246.200562	0.099939	1.000000	36.000000
22071401.000000	5.000000	34.000000	45.848155	0.375259	0.573001	0.948037	0.243488	0.068703	0.092033	0.087957	1.189560	1.486739	249.493113	0.095383	2.000000	33.000000
22071401.000000	5.000000	30.000000	16.186423	0.048793	1.036510	1.686278	0.384357	0.000063	0.748981	0.075929	1.352360	0.158898	248.244751	0.084626	1.000000	31.000000
