subID	modeli	name	Mp	delta	wp	scl	delta2	nll	nllsd	success	iterations
22071904	4	dnDNM	3.09228198602796e-11	0.421246219929981	0.399592718951772	3.99999992167614	NaN	361.779578438717	0.0367724016338825	2	21
22071904	5	dnDNMExtened	9.31322574615479e-08	0.629786463454366	0.399169083684683	4	3.35420238859952	356.421664367442	0.0268323936941602	2	22
22071905	1	McFadden	175.18390820222	-0.407732573343674	NaN	NaN	NaN	350.599522472789	0.0401392582348494	1	20
22071905	2	dnLinear	173.380960579661	-0.449181558449345	NaN	0.13963603751472	NaN	350.618906255318	0.0338215656976373	2	17
22071905	3	DNM	177.191932678223	-0.450030517578125	0	NaN	NaN	350.617146639106	0.0395674013908011	2	22
22071905	4	dnDNM	171.394115872681	-0.453808014467359	0	0.693322584033012	NaN	350.639361187655	0.0296917809528877	1	16
22071905	5	dnDNMExtened	154.964668273926	-0.353854370117188	0	0.417190551757812	-0.795655822753906	350.678185771412	0.0318837523052648	2	15
22071906	1	McFadden	7.03270864486694	0.0801545143127441	NaN	NaN	NaN	168.160253768459	0.0345110626173666	2	11
22071906	2	dnLinear	6.96364498138428	0.0802606582641602	NaN	0.258769035339355	NaN	168.181855779018	0.0429203794955348	2	11
22071906	3	DNM	7.02345122494626	0.0747453420220154	1.64371612300096e-05	NaN	NaN	168.20429718269	0.0413932996223911	2	26
22071906	4	dnDNM	7.08972652225225	0.0687387908325036	0	0.190122594396144	NaN	168.213480592257	0.0344376213079375	2	27
22071906	5	dnDNMExtened	6.98817338049412	-0.120456512272358	1.85668468477562e-06	0.438967049121857	2.22180940359831	167.24209921024	0.0351202351553402	1	23
22071907	1	McFadden	14.7546210289001	-0.0606456518173218	NaN	NaN	NaN	327.873805427301	0.0252078544642711	2	17
22071907	2	dnLinear	6.99920356273651	-0.999997520446778	NaN	4	NaN	317.129592191259	0.0305981182664777	2	11
22071907	3	DNM	2.78532752417959e-12	-0.0860315765580993	0.363980330336011	NaN	NaN	321.718393141554	0.0307833010832447	1	20
22071907	4	dnDNM	0.143631815910339	-0.965620756149292	0.181291031837463	3.99880409240723	NaN	312.008232684094	0.0332272723349474	2	22
22071907	5	dnDNMExtened	0.386599500547163	-0.915517550939694	0.197273076651618	3.98326123156585	0.132656840095297	311.938565125894	0.0376265983776485	1	39
22071908	1	McFadden	7.33646775968373	0.751976208388805	NaN	NaN	NaN	329.888200451209	0.0411252103938054	2	21
22071908	2	dnLinear	7.51233643293381	0.715976220369339	NaN	0.000708103179931641	NaN	329.890611149501	0.0285923885446845	2	24
22071908	3	DNM	7.6968150138855	0.640325355529785	0	NaN	NaN	329.912417109468	0.0361906516183841	2	11
22071908	4	dnDNM	7.56219279766083	0.707640719413757	0	0	NaN	329.893458871303	0.0323605823077835	2	27
22071908	5	dnDNMExtened	7.56123095750809	1.06959486603737	0.000163930654525801	1.74185699224472	3.84285153746605	329.070770454451	0.031384725390916	2	22
22071909	1	McFadden	27.1055308593932	0.131517129727581	NaN	NaN	NaN	260.539349938201	0.03487281880096	1	21
22071909	2	dnLinear	27.3784536495805	0.0708846881985664	NaN	1.27257704734802	NaN	260.5730678951	0.033381953208674	2	23
22071909	3	DNM	1.35311575419905e-05	0.024642233923754	0.227540112583658	NaN	NaN	245.900729937275	0.025535910203045	1	24
22071909	4	dnDNM	0.00299072265625	0.0267578125	0.22908935546875	0	NaN	245.909970784518	0.0420220329265976	2	13
22071909	5	dnDNMExtened	4.88758087158203e-06	0.0250135898590088	0.230669498443604	0.0244340896606445	0.621321296691895	245.877378070854	0.0360879386965285	2	28
22071910	1	McFadden	22.852996468544	0.882376766204834	NaN	NaN	NaN	234.227380377202	0.0447057067998784	1	25
22071910	2	dnLinear	23.0892855633356	0.859285842355166	NaN	0.0001220703125	NaN	234.246381294861	0.0353413785463488	1	23
22071910	3	DNM	11.1513671875	0.792431640625	0.1054443359375	NaN	NaN	233.861881522182	0.0288204090098523	2	18
22071910	4	dnDNM	15.4945234468905	0.806108264345676	0.0656679671257734	0.0848020210396498	NaN	233.827376709485	0.0289102996881717	2	23
22071910	5	dnDNMExtened	13.6650390625	0.75654296875	0.07998046875	0	-0.9998046875	233.788424002676	0.0324290979477183	2	18
22071911	1	McFadden	1.76783884285635	0.335645845967792	NaN	NaN	NaN	222.473631143567	0.0301700861038343	2	22
22071911	2	dnLinear	0.513420546014004	3.0203604253813	NaN	1.212208174029	NaN	218.655128197255	0.0326313826665775	1	63
22071911	3	DNM	1.7496452331543	0.326226806640625	0	NaN	NaN	222.453945050999	0.0292139360008363	2	24
22071911	4	dnDNM	0.428256839513779	3.88509911894798	0	1.21695780754089	NaN	218.472649192488	0.0270716834035748	1	25
22071911	5	dnDNMExtened	0.716727748513222	2.28869541287422	0	1.19080092012882	-0.706355486810208	217.88875352902	0.0298952482129884	1	28
22071912	1	McFadden	120.616943359375	-0.6805419921875	NaN	NaN	NaN	362.184329362947	0.0348404898592588	2	14
22071912	2	dnLinear	113.496249276446	-0.772068982874043	NaN	3.99669704725966	NaN	355.410442027905	0.0393382422859537	1	28
22071912	3	DNM	9.31322574615479e-10	-0.673483884334564	0.977671877387911	NaN	NaN	354.903097343802	0.0328022828834846	1	19
22071912	4	dnDNM	4.17853584905807	-0.712875696342962	0.807607807189449	3.99997239826474	NaN	349.378527930409	0.0322171378632445	1	22
22071912	5	dnDNMExtened	10.5006725047715	-0.754529896238819	0.790788877173327	3.99880146514624	0.970943598169834	347.913038418898	0.038211897182613	2	18
22072001	1	McFadden	2.99742076558323	-0.106644095298543	NaN	NaN	NaN	350.141126033076	0.0403120564214779	1	24
22072001	2	dnLinear	2.57902269996703	-0.2291594106704	NaN	1.01391004770994	NaN	348.603040782893	0.039961589842863	2	26
22072001	3	DNM	0.720319758635014	-0.0491224261932075	0.436099193338305	NaN	NaN	348.229624575663	0.029927112618826	2	16
22072001	4	dnDNM	2.12926079770504	-0.321560501759992	0.127028289251665	1.63106688584549	NaN	346.970710763212	0.0354562987559868	1	36
22072001	5	dnDNMExtened	1.50471485118942	-0.239970648774761	0.262515791677652	1.17423428460097	1.17167592685109	346.476949667294	0.0337432709536111	1	36
